NCTId,Sponsor,Locations
NCT05605210,"Marco Aurélio Vaz, PhD","Exercise Research Laboratory, School of Physical Education, Federal University of Rio Grande do Sul, Porto Alegre, Brazil"
NCT07099859,Vitor Emer Egypto Rosa,"Heart Institute of the School of Medicine of the University of São Paulo, São Paulo, Brazil"
NCT02242942,Hoffmann-La Roche,"Hospital das Clinicas - UFRGS, Porto Alegre, Brazil; Instituto de Ensino e Pesquisa Sao Lucas - IEP, São Paulo, Brazil; Hospital das Clinicas - FMUSP, São Paulo, Brazil"
NCT05508243,Herbarium Laboratorio Botanico Ltda,"Kosmoscience Ciência e Tecnologia Cosmética Ltda, Campinas, Brazil"
NCT00890825,AstraZeneca,"Research Site, Belo Horizonte, Brazil; Research Site, Ijuí, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, Santo André, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil"
NCT05879289,Farmoquimica S.A.,"Medcin Instituto da Pele, Osasco, Brazil"
NCT02387190,Federal University of Bahia,"Ana nery Hospital, Salvador, Brazil"
NCT03432390,Instituto Materno Infantil Prof. Fernando Figueira,"Hospital das Clínicas de Pernambuco, Recife, Brazil"
NCT02603523,Universidade Estadual Paulista Júlio de Mesquita Filho,"UNESP, Presidente Prudente, Brazil"
NCT03293862,University of Sao Paulo General Hospital,"Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT05667844,Universidade Federal do Rio de Janeiro,"Federal University of Rio de Janeiro, Rio de Janeiro, Brazil"
NCT01539798,Federal University of Mato Grosso,"Hospital Universitario Julio Mullar, Cuiabá, Brazil"
NCT01227863,Azidus Brasil,"LAL Clinica Pesquisa e Desenvolvimento Ltda, Valinhos, Brazil"
NCT01472263,Hospital Universitário Professor Edgard Santos,"Hospital Universitário Professor Edgard Santos, Salvador, Brazil"
NCT00868049,University of Sao Paulo,"Medical School of University of São Paulo, São Paulo, Brazil"
NCT00955643,Escola Bahiana de Medicina e Saude Publica,"EBMSP Central Clinic, Salvador, Brazil"
NCT04115943,University of Nove de Julho,"Nove de Julho University, São Paulo, Brazil"
NCT04875143,University of Pernambuco,"Cicero Jonas Rodrigues Benjamim, Juazeiro do Norte, Brazil"
NCT01039376,Novartis Pharmaceuticals,"Novartis Investigative Site, Salvador, Brazil; Novartis Investigative Site, Goiania - GO, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Barretos, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT01002391,Daniela Francescato Veiga,"Hospital das Clínicas Samuel Libânio - UNIVÁS, Pouso Alegre, Brazil"
NCT02654990,pharmaand GmbH,"Novartis Investigative Site, Barretos, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT03224897,Universidade Federal de Pernambuco,"Applied Neuroscience Laboratory, Recife, Brazil; Federal University of Pernambucano, Recife, Brazil"
NCT03225079,Jena University Hospital,"Hospital Sirio Libanes, São Paulo, Brazil"
NCT01237158,University of Sao Paulo,"Institute of Psychiatry HCFMUSP, São Paulo, Brazil"
NCT03913143,ProQR Therapeutics,"INRET Clínica/ Santa Casa de Misericórdia de Belo Horizonte, Belo Horizonte, Brazil; Federal University of São Paulo - Hospital São Paulo (UNIFESP-HSP), São Paulo, Brazil"
NCT04619797,Hoffmann-La Roche,"Crio - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Oncocentro Belo Horizonte, Belo Horizonte, Brazil; Oncosite - Centro de Pesquisa Clinica Em Oncologia Ltda, Ijuí, Brazil; Hospital das Clinicas - UFRGS, Porto Alegre, Brazil; Hospital Nossa Senhora da Conceicao, Porto Alegre, Brazil; Hospital de Cancer de Barretos, Barretos, Brazil; Instituto do Cancer do Estado de Sao Paulo - ICESP, São Paulo, Brazil"
NCT03615924,AstraZeneca,"Research Site, Porto Alegre, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, Salvador, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil"
NCT04202289,Nucleo De Pesquisa E Desenvolvimento De Medicamentos Da Universidade Federal Do Ceara,"Burn Treatment Center, Dr. José Frota Institute, Fortaleza, Brazil; Drug Research and Development Center (NPDM), Federal University of Ceará (UFC), Fortaleza, Brazil"
NCT03106168,University of Sao Paulo,"Serviço de Urgência da Faculdade de Odontologia de São Paulo, São Paulo, Brazil"
NCT04339010,University of the State of Santa Catarina,"Center for Health and Sport Sciences, Florianópolis, Brazil"
NCT04104490,University of Florida,"Universidade Federal de Ciências da Saúde de Porto Alegre, Porto Alegre, Brazil"
NCT00045760,Eli Lilly and Company,"For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY (1-877-285-4559) or speak with your personal physician., Salvador, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY (1-877-285-4559) or speak with your personal physician., Curitiba, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY (1-877-285-4559) or speak with your personal physician., Porto Alegre, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY (1-877-285-4559) or speak with your personal physician., Rio de Janeiro, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY(1-877-285-4559) or speak with your personal physician., Rio de Janeiro, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY (1-877-285-4559) or speak with your personal physician., Florianópolis, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY (1-877-285-4559) or speak with your personal physician., São Paulo, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY(1-877-285-4559) or speak with your personal physician., São Paulo, Brazil; For additional information regarding investigative sites for this trial, contact the Clinical Trials Support Center at 1-877-CTLILLY(1-877-285-4559) or speak with your personal physician., Porto Alegre, Brazil"
NCT01131650,Hospital do Olho Rio Preto,"Carlos Eduardo Cury Junior, São José do Rio Preto, Brazil"
NCT04045379,Federal University of São Paulo,"Federal University of Sao Paulo - Unifesp, São Paulo, Brazil"
NCT05164133,Hoffmann-La Roche,"Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Brazil"
NCT02216643,Hospital de Clinicas de Porto Alegre,"Hospital Geral de Fortaleza/SUS, Fortaleza, Brazil; Hospital Estadual Central, Vitória, Brazil; Hospital Geral Roberto Santos, Salvador, Brazil; Hospital de Base do Distrito Federal, Brasília, Brazil; Hospital de Clínicas da Universidade Federal do Paraná, Curitiba, Brazil; Hospital São José do Avaí, Itaperuna, Brazil; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; UNIÃO BRASILEIRA DE EDUCAÇÃO E ASSISTENCIA, Hospital São Lucas PUCRS, Porto Alegre, Brazil; Hospital Governador Celso Ramos, Florianópolis, Brazil; Clinica Neurologica e Neurocirurgica de Joinville S/S Ltda, Joinville, Brazil; Hospital das Clínicas da Faculdade de Medicina de Botucatu, Botucatu, Brazil; Hospital de Clínicas - UNICAMP, Campinas, Brazil; Hospital de Clínicas de Ribeirão Preto, Ribeirão Preto, Brazil; Irmandade da Santa Casa de Misericórdia, São Paulo, Brazil; Universidade Federal de São Paulo - UNIFESP/EPM, São Paulo, Brazil"
NCT00883025,Irmandade da Santa Casa de Misericoridia de Limeira,"Hospital Dia, Limeira, Brazil"
NCT02383576,Hoffmann-La Roche,"Crio - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Instituto Nacional de Cancer - INCa; Oncologia, Rio de Janeiro, Brazil; Hospital de Caridade de Ijui; Oncologia, Ijuí, Brazil; Hospital das Clinicas - UFRGS, Porto Alegre, Brazil; Hospital Amaral Carvalho, Jaú, Brazil; Faculdade de Medicina do ABC - FMABC; Oncologia e Hematologia, Santo André, Brazil; Instituto do Cancer do Estado de Sao Paulo - ICESP, São Paulo, Brazil; Hospital Santa Marcelina;Oncologia, São Paulo, Brazil"
NCT04834089,Butantan Institute,"Hospital do Rim, São Paulo, Brazil; Hospital das Clinicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT02215668,University of Sao Paulo,"Hospital do Cancer de Barretos, Barretos, Brazil"
NCT01546610,Federal University of São Paulo,"Emilia Moreira, São Paulo, Brazil"
NCT03088813,Ipsen,"Hospital de Cancer de Barretos, Fundacoa Pio X II, Barretos, Brazil; Hospital de Caridade de Ijuí, Ijuí, Brazil; Oncobio Servicos de Saude, Nova Lima, Brazil; HGB - Hospital Giovanni Battista - Mãe de Deus Center, Porto Alegre, Brazil; Hospital Nossa Senhora da Conceição, Porto Alegre, Brazil; INCA - Instituto Nacional de Câncer, Rio de Janeiro, Brazil; CEPHO - Centro de Estudos e Pesquisas de Hematologia e Oncologia, Santo André, Brazil; Fundação Faculdade Regional de Medicina de São José do Rio Preto, São José do Rio Preto, Brazil"
NCT00108758,Novo Nordisk A/S,"Novo Nordisk Investigational Site, Rio de Janeiro, Brazil; Novo Nordisk Investigational Site, Campinas, Brazil; Novo Nordisk Investigational Site, Belo Horizonte, Brazil; Novo Nordisk Investigational Site, Recife, Brazil; Novo Nordisk Investigational Site, Ribeirão Preto, Brazil"
NCT00257608,"Genentech, Inc.","Instituto de cancer Arnaldo, São Paulo, Brazil; Instituto Nacional do Cancer, Rio de Janeiro, Brazil; Hospital Das Clinicas, São Paulo, Brazil"
NCT04494776,Helio Tedesco Silva Junior,"Hospital do Rim, São Paulo, Brazil"
NCT05027074,Merck Sharp & Dohme LLC,"Fundação Faculdade Regional de Medicina de São José do Rio Preto-Centro Integrado de Pesquisa ( Site, São José do Rio Preto, Brazil; Fresenius Clinical Trials Perdizes ( Site 0101), São Paulo, Brazil; Hospital do Rim e Hipertensão ( Site 0106), São Paulo, Brazil"
NCT05873660,Novo Nordisk A/S,"Novo Nordisk Investigational Site, São Paulo, Brazil"
NCT04648280,PENTA Foundation,"Hospital Geral de Nova Iguaçu, Nova Iguaçu, Brazil; Hospital Federal dos Servidores do Estado, Rio de Janeiro, Brazil"
NCT01286779,Baxalta now part of Shire,"UNIFESP - Universidade Estadual de Sao Paulo, São Paulo, Brazil"
NCT03378596,Juliano Casonatto,"Juliano Casonatto, Londrina, Brazil"
NCT01695616,Ache Laboratorios Farmaceuticos S.A.,"ISBEM, São Paulo, Brazil"
NCT02622633,University of Brasilia,"Rivadavio Amorim, Brasília, Brazil"
NCT05257408,Corcept Therapeutics,"Site 424, Brasília, Brazil; Site 382, Fortaleza, Brazil; Site 384, Salvador, Brazil; Site 383, Belo Horizonte, Brazil; Site 390, Natal, Brazil; Site 413, São Paulo, Brazil; Site 421, Porto Alegre, Brazil; Site 380, Rio de Janeiro, Brazil; Site 376, São Paulo, Brazil; Site 389, São Paulo, Brazil; Site 413, São Paulo, Brazil; Site 374, São Paulo, Brazil; Site 001, São Paulo, Brazil"
NCT05553340,Hospital de Clinicas de Porto Alegre,"Lisiane Paskulin, Porto Alegre, Brazil"
NCT01529190,Federal University of São Paulo,"Federal University of Sao Paulo, São Paulo, Brazil"
NCT05637710,Eurofarma Laboratorios S.A.,"Eurofarma Laboratorios S.A, São Paulo, Brazil"
NCT01425723,Bioverativ Therapeutics Inc.,"Research Site, Campinas, Brazil"
NCT03759379,Alnylam Pharmaceuticals,"Clinical Trial Site, Rio de Janeiro, Brazil"
NCT05973526,Universidade Federal de Pernambuco,"Federal University of Pernambuco, Recife, Brazil"
NCT01892748,ROSA MARIA RODRIGUES PEREIRA,"University of Sao Paulo - School of Medicine, São Paulo, Brazil"
NCT01968343,University of Sao Paulo,"Instituto de Psiquiatria da Universidade de São Paulo, São Paulo, Brazil"
NCT02967276,"University of Campinas, Brazil","UOPECCAN - Hospital do Câncer de Cascavel, Cascavel, Brazil; Hemocentro - Hospital de Clínicas - State University of Campinas (UNICAMP), Campinas, Brazil"
NCT02236117,Universidade Estadual de Londrina,"Universidade Estadual de Londrina, Londrina, Brazil"
NCT00405418,Sanofi,"Sanofi-Aventis, São Paulo, Brazil"
NCT01017913,Federal University of São Paulo,"Cesumar, Maringá, Brazil"
NCT02389608,University of Nove de Julho,"University Nove de Julho, São Paulo, Brazil"
NCT05022108,Universidade do Vale do Sapucai,"Vale do Sapucaí University, Pouso Alegre, Brazil"
NCT00980876,Farmoquimica S.A.,"Clínica Quiron, Campinas, Brazil"
NCT06108674,Federal University of Bahia,"Farmácia Escola da UFBA, campus Anísio Teixeira, Vitória da Conquista, Brazil"
NCT04972318,Hospital do Coracao,"Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina, Londrina, Brazil; Hospital São José, Criciúma, Brazil; Hospital Nereu Ramos, Florianópolis, Brazil; Centro Hospitalar Unimed, Joinville, Brazil; Hospital do Coracao, São Paulo, Brazil; BP-A Beneficiência Portuguesa de São Paulo, São Paulo, Brazil"
NCT01133223,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT00679588,Sanofi,"Investigational Site Number 076003, Belo Horizonte, Brazil; Investigational Site Number 076010, Belo Horizonte, Brazil; Investigational Site Number 076014, Caxias do Sul, Brazil; Investigational Site Number 076012, Curitiba, Brazil; Investigational Site Number 076005, Curitiba, Brazil; Investigational Site Number 076006, Goiânia, Brazil; Investigational Site Number 076011, Joinville, Brazil; Investigational Site Number 076007, Porto Alegre, Brazil; Investigational Site Number 076009, Porto Alegre, Brazil; Investigational Site Number 076015, Ribeirão Preto, Brazil; Investigational Site Number 076013, São José do Rio Preto, Brazil; Investigational Site Number 076004, São Paulo, Brazil; Investigational Site Number 076002, São Paulo, Brazil; Investigational Site Number 076008, São Paulo, Brazil"
NCT02973230,University of Sao Paulo General Hospital,"University of Sao Paulo - School of Medicine - General Hospital, São Paulo, Brazil"
NCT03847428,AstraZeneca,"Research Site, Florianópolis, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Rio de Janeiro, Brazil; Research Site, Santa Maria, Brazil; Research Site, Santo André, Brazil; Research Site, São José do Rio Preto, Brazil; Research Site, Vitória, Brazil"
NCT01532336,"NovaBay Pharmaceuticals, Inc.",", Recife, Brazil; , Rio de Janeiro, Brazil; , Porto Alegre, Brazil; , Joinville, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , São Paulo, Brazil; , Sorocaba, Brazil"
NCT02632409,Bristol-Myers Squibb,"Local Institution - 0071, Ijuí, Brazil; Local Institution - 0072, Porto Alegre, Brazil; Local Institution - 0070, Barretos, Brazil; Local Institution - 0073, Cerqueira César, Brazil; Local Institution - 0231, Rio de Janeiro, Brazil; Local Institution - 0100, São Paulo, Brazil"
NCT00107887,Johns Hopkins University,"City of Rio De Janeiro Health Department Clinics, Rio de Janeiro, Brazil"
NCT01261793,UCB Pharma,"954, Belo Horizonte, Brazil; 956, Campinas, Brazil; 955, Goiânia, Brazil; 950, Juiz de Fora, Brazil; 952, Rio de Janeiro, Brazil"
NCT01695421,University of Brasilia,"Brasilia University, Brasília, Brazil"
NCT02080949,Barretos Cancer Hospital,"Barretos Cancer Hospital - Fundação Pio XII, Barretos, Brazil"
NCT01420549,Ache Laboratorios Farmaceuticos S.A.,"Centro de Pesquisas em Diabetes e Doenças Endócrino-Metabólicas- UFC, Fortaleza, Brazil; Centro de Pesquisas Médicas Básica e Clínica, Recife, Brazil; CCBR Brasil Centro de Pesquisas e Análises Clínicas, Rio de Janeiro, Brazil; CEPIC Centro Paulista de Investigação Clínica, São Paulo, Brazil; FGM - Clínica Paulista de Doenças Cardiovasculares, São Paulo, Brazil; Hospital do Rim e Hipertensão, São Paulo, Brazil; Universidade Federal de São Paulo, São Paulo, Brazil"
NCT02472158,University of Sao Paulo,"Clinical Hospital of Ribeirão Preto Medical School (HCFMRP-USP), Ribeirão Preto, Brazil"
NCT03095378,University of Sao Paulo,"Bauru School of Dentistry, Bauru, Brazil"
NCT00668889,Sanofi,"Sanofi-aventis administrative office, São Paulo, Brazil"
NCT03760497,University of Sao Paulo,"School of Dentistry of Ribeirao Preto, Ribeirão Preto, Brazil"
NCT06005259,University of Sao Paulo,"Instituto do Coração, São Paulo, Brazil"
NCT01903733,Pfizer,"Universidade Estadual de Campinas / Centro de Hematologia e Hemoterapia, Campinas, Brazil; Faculdade de Medicina do ABC - Centro de Estudos e Pesquisa em Hematologia e Oncologia (CEPHO), Santo André, Brazil"
NCT00999648,University of Sao Paulo General Hospital,"Clinics Hospital of University of Sao Paulo Medical School - Department of Otorhinolaryngology, São Paulo, Brazil"
NCT02772185,Federal University of Paraíba,"Suellen Andrade, João Pessoa, Brazil"
NCT02066935,Fundação Instituto Mineiro de Estudo Pesquisa Em Nefrologi,"Fundação Instituto Mineiro de Estudos e Pesquisas em Nefrologia, Juiz de Fora, Brazil"
NCT05558397,Universidade Federal de Alfenas,"Larissa Helena Lobo Torres Pacheco, Alfenas, Brazil"
NCT01549678,Federal University of São Paulo,"Federal University of Sao Paulo, São Paulo, Brazil"
NCT05946915,Faculdade de Ciências Médicas da Santa Casa de São Paulo,"Santa Casa SP School of Medical Sciences, São Paulo, Brazil"
NCT01007435,Hoffmann-La Roche,"Centro Internacional de Pesquisa; Reumatologia, Goiânia, Brazil; Hospital das Clinicas - UFG;Reumatologia, Goiânia, Brazil; Centro Mineiro de Pesquisa - CMIP, Juiz de Fora, Brazil; Centro de Estudos em Terapias Inovadoras - CETI, Curtiba, Brazil; Hospital Sao Lucas - PUCRS, Porto Alegre, Brazil; Hospital e Maternidade Celso Pierro - PUCCamp; Reumatologia, Campinas, Brazil; Universidade Federal de Sao Paulo - UNIFESP; Reumatologia, São Paulo, Brazil; Centro Paulista de Investigacao Clinica - CEPIC, São Paulo, Brazil"
